Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,Title Characters,SEO Description,CONTENT (product.metafields.custom.content),GSM (product.metafields.custom.gsm),Description Characters,KNIT STYLE (product.metafields.custom.knit_style),OUNCE (product.metafields.custom.ounce),SHADE (product.metafields.custom.shade),Sustainable Blends (product.metafields.custom.sustainable_blends),FABRIC (product.metafields.custom.type),USAGE (product.metafields.custom.usage),WIDTH (product.metafields.custom.width),Folder (product.metafields.custom.folder),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Suitable for material type (product.metafields.shopify.suitable-for-material-type),Suitable space (product.metafields.shopify.suitable-space),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
polyester-cotton-lurex-terry-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1wYlY_JRo5FV7J08j1MCXEdDRSeGksTfr,2,Polyester Cotton Lurex Terry,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-lurex-terry-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1RqO7EivuIGJYbdGoNe5Ch2N2tANYNlYo,3,Polyester Cotton Lurex Terry,,,,,,,,,,,,,,,,,,,,,,,,
polyester-fleece,Polyester Fleece,"<p><span>A medium-weight (210 GSM) 100% polyester fleece fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,Open,,TRUE,Title,Default Title,,,,,,,,SCH5691,1000,shopify,6,continue,manual,799,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=13H-iDWw09ATXHr1WMq3rAaee_i5NNy6g,1,Polyester Fleece,FALSE,Premium Poly Fleece Fabric | Texongo Fabric,43,"Shop 210 GSM 100% polyester fleece fabric in grey by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel online.",100%-POLYESTER,210,144,FLEECE,6.19,GREY,,POLY-FLEECE,"Co-ords,-T--shirt,-Sweat-Shirt,-Joggers,-Tops,-Dresses,-Hoodie,-Tops",65-inches-/-191-cm,28,,,,,,kg,,,active
polyester-fleece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=12QRUIMXa_ZaOd1m5Yrn8LSW8nJKaU6sr,2,Polyester Fleece,,,,,,,,,,,,,,,,,,,,,,,,
polyester-fleece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1BDcGnCDNY40DAJwZd5TuOxJlwyLu4N_2,3,Polyester Fleece,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-fleece-2,Polyester Cotton Fleece,"<p><span>A medium-weight (235 GSM) 60% cotton 40% polyester fleece fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,Open,,TRUE,Title,Default Title,,,,,,,,SCH5692,1000,shopify,14,continue,manual,849,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1CpTXXjdJ5zOSJDWX1l1xoKF9ccpagFd4,1,Polyester Cotton Fleece,FALSE,Blue Polyester Cotton Fleece Fabric | Texongo,45,"Shop 235 GSM cotton polyester blend fleece fabric in blue by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel.",60%-COTTON-40%-POLY,235,145,FLEECE,6.93,BLUE,,POLY-COTTON-FLEECE,"Co-ords,-T--shirt,-Sweat-Shirt,-Joggers,-Tops,-Dresses,-Hoodie,-Tops",60-inches-/-176-cm,28,,,,,,kg,,,active
polyester-cotton-fleece-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1k3wiKOnX7c4uvHtEy0zGBXknmHvJV9i8,2,Polyester Cotton Fleece,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-fleece-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1fe2vJ-GqWn15DpZ-hv-NmX0LfYyYdNje,3,Polyester Cotton Fleece,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-fleece-stripe-2,Polyester Cotton Fleece Stripe,"<p><span>A medium-weight (330 GSM) 60% cotton 40% polyester fleece fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,Open,,TRUE,Title,Default Title,,,,,,,,SCH5693,1000,shopify,10,continue,manual,849,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=16-KLqqStZ1sQc82OY54XjfaivXXHjRSo,1,Polyester Cotton Fleece Stripe,FALSE,Polyester Cotton Fleece Stripe Fabric | Texongo,47,"Shop 330 GSM cotton polyester blend fleece fabric in pink black by Texongo. Soft and drapey for tops, dresses, co-ords and premium apparel online.",60%-COTTON-40%-POLY,330,146,FLEECE,9.73,PINK-BLACK,,POLY-COTTON-FLEECE-STRIPE,"Hoodie,-Co-ords,-T--shirt,-Sweat-Shirt,-Joggers,-Tops,-Dresses",64-inches-/-188-cm,28,,,,,,kg,,,active
polyester-cotton-fleece-stripe-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1pOIRydJGgR0JcyCOFFbscMLjhQzQkTVx,2,Polyester Cotton Fleece Stripe,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-fleece-stripe-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=16KuEKp3vus199GbnBeVL4lQJ-8kEP5Nc,3,Polyester Cotton Fleece Stripe,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-fleece-5,Polyester Cotton Fleece,"<p><span>A medium-weight (290 GSM) 60% cotton 40% polyester fleece fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,Open,,TRUE,Title,Default Title,,,,,,,,SCH5694,1000,shopify,61.5,continue,manual,799,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1eZY5ndCoJ4yoDGG87TdAblSm67FTINUG,1,Polyester Cotton Fleece,FALSE,Sky Blue Poly Cotton Fleece Fabric | Texongo,44,"Shop 290 GSM cotton polyester blend fleece fabric in sky blue by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel.",60%-COTTON-40%-POLY,290,149,FLEECE,8.55,SKY-BLUE,,POLY-COTTON-FLEECE,"Hoodie,-Co-ords,-T--shirt,-Sweat-Shirt,-Joggers,-Tops,-Dresses",76-inches-/-223-cm,28,,,,,,kg,,,active
polyester-cotton-fleece-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1U35Y02_9ufcfZj_L_TfvZTsk6Ul4SYst,2,Polyester Cotton Fleece,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-fleece-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1Prh_MUnk0OxWisWV1LdQdyIUg1gEP3Mo,3,Polyester Cotton Fleece,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-fleece,Polyester Cotton Fleece,"<p><span>A medium-weight (225 GSM) 60% cotton 40% polyester fleece fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,Open,,TRUE,Title,Default Title,,,,,,,,SCH5695,1000,shopify,29,continue,manual,849,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1Gr_MSiAb8DJNW6wE2IxXPFuY8zH3cZu4,1,Polyester Cotton Fleece,FALSE,Sky Blue Poly Cotton Fleece Fabric | Texongo,44,"Shop 225 GSM cotton polyester blend fleece fabric in sky blue by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel.",60%-COTTON-40%-POLY,225,149,FLEECE,6.64,SKY-BLUE,,POLY-COTTON-FLEECE,"Co-ords,-T--shirt,-Sweat-Shirt,-Joggers,-Tops,-Dresses,-Hoodie,-Tops",76-inches-/-223-cm,28,,,,,,kg,,,active
polyester-cotton-fleece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=185qFzeauQzo4UgD4lWQwSYB-KTayl5u9,2,Polyester Cotton Fleece,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-fleece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=13EmiA6MrvfNcaF8pnjgYpLevG07-GEaK,3,Polyester Cotton Fleece,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-fleece-4,Polyester Cotton Fleece,"<p><span>A medium-weight (265 GSM) 60% cotton 40% polyester fleece fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,Open,,TRUE,Title,Default Title,,,,,,,,SCH5696,1000,shopify,17,continue,manual,849,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1BNGErknoAj3C62lF8E4l5GISBaoscwFv,1,Polyester Cotton Fleece,FALSE,Blue Polyester Cotton Fleece Fabric | Texongo,45,"Shop 265 GSM cotton polyester blend fleece fabric in blue by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel.",60%-COTTON-40%-POLY,265,145,FLEECE,7.82,BLUE,,POLY-COTTON-FLEECE,"Hoodie,-Co-ords,-T--shirt,-Sweat-Shirt,-Joggers,-Tops,-Dresses",80-inches-/-235-cm,28,,,,,,kg,,,active
polyester-cotton-fleece-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1jBBft9K93F3NxJL2lu90HXdZJlZfA0V7,2,Polyester Cotton Fleece,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-fleece-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=10aW-qG0P0vKRIjSjmLTfqfnGHrNy96sr,3,Polyester Cotton Fleece,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-fleece-stripe,Polyester Cotton Fleece Stripe,"<p><span>A medium-weight (320 GSM) 60% cotton 40% polyester fleece fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,Open,,TRUE,Title,Default Title,,,,,,,,SCH5697,1000,shopify,15,continue,manual,849,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=13lvBNwKA-0yONKPM2dJ3lZo5vjps8Q7e,1,Polyester Cotton Fleece Stripe,FALSE,Polyester Cotton Fleece Stripe Fabric | Texongo,47,"Shop 320 GSM cotton polyester blend fleece fabric in black white grey by Texongo. Soft and drapey for tops, dresses, co-ords and premium apparel.",60%-COTTON-40%-POLY,320,145,FLEECE,9.44,BLACK-WHITE-GREY,,POLY-COTTON-FLEECE-STRIPE,"Hoodie,-Co-ords,-T--shirt,-Sweat-Shirt,-Joggers,-Tops,-Dresses",64-inches-/-188-cm,28,,,,,,kg,,,active
polyester-cotton-fleece-stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1jwZRY01c2BA2gh2zZdrrcvjCTggu8S8d,2,Polyester Cotton Fleece Stripe,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-fleece-stripe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1qSOYG9wQso35buWxs2dF5CnBvIAmINnX,3,Polyester Cotton Fleece Stripe,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-lurex-terry-3,Polyester Cotton Lurex Terry,"<p><span>A medium-weight (285 GSM) 57% cotton 38% polyester 5% lurex fleece fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,TUBE,,TRUE,Title,Default Title,,,,,,,,SCH5698,1000,shopify,12,continue,manual,1499,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1KRQggb6Y46iZxevh_TFnNhyXCDyqt1k_,1,Polyester Cotton Lurex Terry,FALSE,Cream Poly Cotton Lurex Terry Fabric | Texongo,46,"Shop 285 GSM cotton polyester lurex blend fleece fabric in cream by Texongo. Soft and drapey for tops, dresses, co-ords and premium apparel.",57%-COTTON-38%-POLY-5%-LUREX,285,140,FLEECE,8.41,CREAM,,POLY-COTTON-LUREX-TERRY,"Hoodie,-Co-ords,-T--shirt,-Sweat-Shirt,-Joggers,-Tops,-Dresses",46-inches-/-135-cm,28,,,,,,kg,,,active
polyester-cotton-lurex-terry-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1yZW8BS-U57I9Bb1S7xJIavQ2JIRK-Cod,2,Polyester Cotton Lurex Terry,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-lurex-terry-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1HJMlUKJI1uXTHN2hkueHmHp-Ljn5xoGf,3,Polyester Cotton Lurex Terry,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-lurex-terry,Polyester Cotton Lurex Terry,"<p><span>A medium-weight (235 GSM) 57% cotton 38% polyester 5% lurex fleece fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,Open,,TRUE,Title,Default Title,,,,,,,,SCH5699,1000,shopify,10,continue,manual,1599,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1edFe2AhmbU8koZTF8a7Uuga23XUmiXNO,1,Polyester Cotton Lurex Terry,FALSE,Black Poly Cotton Lurex Terry Fabric | Texongo,46,"Shop 235 GSM cotton polyester lurex blend fleece fabric in black by Texongo. Soft and drapey for tops, dresses, co-ords and premium apparel.",57%-COTTON-38%-POLY-5%-LUREX,235,140,FLEECE,6.93,BLACK,,POLY-COTTON-LUREX-TERRY,"Co-ords,-T--shirt,-Sweat-Shirt,-Joggers,-Tops,-Dresses,-Hoodie,-Tops",76-inches-/-223-cm,28,,,,,,kg,,,active
polyester-cotton-lurex-terry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=15XaoQpL4tUxHFhUNwGBaKIH5_Mmjb1da,2,Polyester Cotton Lurex Terry,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-lurex-terry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1-DVSmm4FRdHos-3WonGyze7Qwz7ER1-i,3,Polyester Cotton Lurex Terry,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-grindle-fleece,Polyester Cotton Grindle Fleece,"<p><span>A medium-weight (250 GSM) 60% cotton 40% polyester fleece fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,Open,,TRUE,Title,Default Title,,,,,,,,SCH5700,1000,shopify,19,continue,manual,1299,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1D0_K3corFWzLrU-Ulpl5Uhv_gjZqL3To,1,Polyester Cotton Grindle Fleece,FALSE,Poly Cotton Grindle Fleece Fabric | Texongo,43,"Shop 250 GSM cotton polyester blend fleece fabric in dark grey by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel.",60%-COTTON-40%-POLY,250,150,FLEECE,7.37,DARK-GREY,,POLY-COTTON-GRINDLE-FLEECE,"Hoodie,-Co-ords,-T--shirt,-Sweat-Shirt,-Joggers,-Tops,-Dresses",64-inches-/-188-cm,28,,,,,,kg,,,active
polyester-cotton-grindle-fleece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1v2PNxw3XF1IyaVWRIlnzhJy28SCRhoSj,2,Polyester Cotton Grindle Fleece,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-grindle-fleece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1aN06dBVuAqrIEauw3-rkKVXgggf4Cmex,3,Polyester Cotton Grindle Fleece,,,,,,,,,,,,,,,,,,,,,,,,
polyester-fleece-3,Polyester Fleece,"<p><span>A medium-weight (270 GSM) 100% polyester fleece fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,Open,,TRUE,Title,Default Title,,,,,,,,SCH5701,1000,shopify,13,continue,manual,749,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1P5m92ffdfcrkHUO2EWWM3WGj9JNhGpex,1,Polyester Fleece,FALSE,Premium Poly Fleece Fabric | Texongo Fabric,43,"Shop 270 GSM 100% polyester fleece fabric in grey by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel online.",100%-POLYESTER,270,144,FLEECE,7.96,GREY,,POLY-FLEECE,"Hoodie,-Co-ords,-T--shirt,-Sweat-Shirt,-Joggers,-Tops,-Dresses",56-inches-/-165-cm,28,,,,,,kg,,,active
polyester-fleece-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1r2s5lxFUriw5YMXv8YbU7gAid_drB8cN,2,Polyester Fleece,,,,,,,,,,,,,,,,,,,,,,,,
polyester-fleece-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=11Bk3_qqleeId4QOmsAYNZZ0K_zS7PoYx,3,Polyester Fleece,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-grindle-fleece-2,Polyester Cotton Grindle Fleece,"<p><span>A medium-weight (300 GSM) 60% cotton 40% polyester fleece fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,Open,,TRUE,Title,Default Title,,,,,,,,SCH5702,1000,shopify,42,continue,manual,1299,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=167P4ai8hY0-iCORp2PhC_NtN63VymxKU,1,Polyester Cotton Grindle Fleece,FALSE,Poly Cotton Grindle Fleece Fabric | Texongo,43,"Shop 300 GSM cotton polyester blend fleece fabric in grey melange by Texongo. Soft and drapey for tops, dresses, co-ords and premium apparel.",60%-COTTON-40%-POLY,300,141,FLEECE,8.85,GREY-MELANGE,,POLY-COTTON-GRINDLE-FLEECE,"Hoodie,-Co-ords,-T--shirt,-Sweat-Shirt,-Joggers,-Tops,-Dresses",76-inches-/-223-cm,28,,,,,,kg,,,active
polyester-cotton-grindle-fleece-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1eJBOo4UouujK_UMQZL4PAUeqlygeHf0r,2,Polyester Cotton Grindle Fleece,,,,,,,,,,,,,,,,,,,,,,,,
polyester-cotton-grindle-fleece-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1QCkyPHTBDHPuQP9TllLb0BPHbHQsi8QL,3,Polyester Cotton Grindle Fleece,,,,,,,,,,,,,,,,,,,,,,,,
polyester-slub-flatback-rib,Polyester Slub Flatback Rib,"<p><span>A medium-weight (272 GSM) 100% polyester rib fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,Open,,TRUE,Title,Default Title,,,,,,,,SCH5703,1000,shopify,10,continue,manual,1299,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1RhH6oYF6g3TNZqvjK40rDCtdfOUtnbBN,1,Polyester Slub Flatback Rib,FALSE,Polyester Slub Flatback Rib Fabric | Texongo,44,"Shop 272 GSM 100% polyester rib fabric in purple by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel online.",100%-POLY,272,143,RIB,8.02,PURPLE,,POLY-SLUB-FLATBACK-RIB,"Tops,-Co-ords-,-T--shirt,-Dresses,-Skirts,-Joggers,-Cargo",66-inches-/-194-cm,29,,,,,,kg,,,active
polyester-slub-flatback-rib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1mU5tBMlKFgRYfIEhn5U7ddVZO6e-IoQP,2,Polyester Slub Flatback Rib,,,,,,,,,,,,,,,,,,,,,,,,
polyester-slub-flatback-rib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1bh_13vHoIwC8dvJqyvRakYIUJZsyoUPn,3,Polyester Slub Flatback Rib,,,,,,,,,,,,,,,,,,,,,,,,
polyester-twil,Polyester Twil,"<p><span>A medium-weight (200 GSM) 100% polyester twill fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,Open,,TRUE,Title,Default Title,,,,,,,,SCH5704,1000,shopify,12,continue,manual,999,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=102elZ7r6lu0VmxvnPlnCv50TX9nR39OC,1,Polyester Twil,FALSE,Premium Poly Twil Fabric | Texongo Fabric,41,"Shop 200 GSM 100% polyester twill fabric in yellow by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel online.",100%-POLY,200,145,TWIL,5.9,YELLOW,,POLY-TWIL,"Co-ords,-T--shirt,-Sweat-Shirt,-Joggers,-Tops,-Dresses",60-inches-/-176-cm,29,,,,,,kg,,,active
polyester-twil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1p4wV3lzUq_7FZlAgXy2AsZ48omrSE6FQ,2,Polyester Twil,,,,,,,,,,,,,,,,,,,,,,,,
polyester-twil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1-FRwKwQWNTStTKGLfNbYuPinQ8EJELEY,3,Polyester Twil,,,,,,,,,,,,,,,,,,,,,,,,
cotton-jacquard-7,Cotton Jacquard,"<p><span>A medium-weight (170 GSM) 100% cotton  jacquard fabric by Texongo, featuring an engineered jacquard texture. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,Open,,TRUE,Title,Default Title,,,,,,,,SCH5705,1000,shopify,15,continue,manual,1299,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1mFqCRk9ZzBl5ogE9YPjqx5MW7LXBMp1I,1,Cotton Jacquard,FALSE,Cotton Jacquard 170 GSM Fabric | Texongo,40,"Shop 170 GSM 100% cotton jacquard fabric in blue by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel online.",100%-COTTON,170,143,JACQUARD,5.01,BLUE,,COTTON--JACQUARD,"Co-ords,-T--shirt,-Sweat-Shirt,-Joggers,-Tops,-Dresses",80-inches-/-235-cm,29,,,,,,kg,,,active
cotton-jacquard-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1nvA0KDf6GG5797p27DiQ732iUEc-O1KD,2,Cotton Jacquard,,,,,,,,,,,,,,,,,,,,,,,,
cotton-jacquard-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1BdS4gAHzhYGhDQBIRbpPPu2UkdA1RfVO,3,Cotton Jacquard,,,,,,,,,,,,,,,,,,,,,,,,
cotton-waffle-9,Cotton Waffle,"<p><span>A medium-weight (230 GSM) 100% cotton  waffle fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,Open,,TRUE,Title,Default Title,,,,,,,,SCH5706,1000,shopify,12,continue,manual,999,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1yEnQfLfyPk-TE-RUTqq5tkuexUsFJLS9,1,Cotton Waffle,FALSE,Premium Cotton Waffle Fabric | Texongo Fabric,45,"Shop 230 GSM 100% cotton waffle fabric in maroon by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel online.",100%-COTTON,230,143,WAFFLE,6.78,MEHROON,,COTTON-WAFFLE,"Co-ords,-T--shirt,-Sweat-Shirt,-Joggers,-Tops,-Dresses,-Skirt",65-inches-/-191-cm,29,,,,,,kg,,,active
cotton-waffle-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1oOpX6llVLGs_4XPh1Sp1fDhBcRigmghA,2,Cotton Waffle,,,,,,,,,,,,,,,,,,,,,,,,
cotton-waffle-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1q4vaXuNbfw7WZ_2fKeDuFye3Cd_RRiVP,3,Cotton Waffle,,,,,,,,,,,,,,,,,,,,,,,,
polyester-terry,Polyester Terry,"<p><span>A medium-weight (220 GSM) 100% polyester french terry fabric by Texongo, designed with a smooth and even knit construction. It offers a soft hand feel, breathable comfort, and a refined drape—ideal for premium apparel and contemporary fashion applications.</span></p>",My-Store,ae-2-1-2-14-2,Open,,TRUE,Title,Default Title,,,,,,,,SCH5707,1000,shopify,13,continue,manual,899,,TRUE,TRUE,,,,,,https://drive.google.com/uc?export=download&id=1YY_IQDDzygzvjgt3CAgUSesekJmyuK-h,1,Polyester Terry,FALSE,Premium Poly Terry Fabric | Texongo Fabric,42,"Shop 220 GSM 100% polyester french terry fabric in green by Texongo. Soft, breathable and drapey for tops, dresses, co-ords and premium apparel.",100%-POLY,220,144,FRENCH TERRY,6.49,GREEN,,POLYESTER-TERRY,"Co-ords,-T--shirt,-Sweat-Shirt,-Joggers,-Tops,-Dresses,-Hoodie",52-inches-/-153-cm,29,,,,,,kg,,,active
polyester-terry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1pDMlpaYHeagV1U_NoDnqh-plFJKbIyNm,2,Polyester Terry,,,,,,,,,,,,,,,,,,,,,,,,
polyester-terry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/uc?export=download&id=1q5Emc-6k63pBHYYzjggyM8gHzKOj7_Qs,3,Polyester Terry,,,,,,,,,,,,,,,,,,,,,,,,
